Page,Status,Priority,Complexity,Notes
AccessReporter\Default.aspx,Archived,2,0,
AccessReporter\PDFViewer.aspx,Archived,2,0,
AccessReporter\zaAccessReporterDemo.aspx,Archived,2,0,
AccessReporter\UserGuide.aspx,Redirect,4,0,
Advertising\Default.aspx,To-do,4,2,
AgileTemplate\Reports\Default.aspx,Archived,2,0,
AgileTemplate\Default.aspx,Archived,2,0,
AgileTemplate\ManageProjects.aspx,Archived,2,0,
AgileTemplate\UserGuide.aspx,Archived,2,0,
Angular\Default.aspx,Done,1,0,
Bot\Default.aspx,Done,1,0,
Bots\Default.aspx,Done,1,0,
CacheManagement.aspx,To-do,4,2,
China\blank.aspx,Done,1,0,
China\ChinaPigeon.aspx,Done,1,0,
China\ChinaRaven.aspx,Done,1,0,
China\ChinaRavenSubPage.aspx,Done,1,0,
China\default.aspx,Done,1,0,
China\EmploymentChina.aspx,Done,1,0,
CodeAuditor\Contact\Default.aspx,To-do,4,2,
CodeAuditor\Default.aspx,To-do,4,2,
CodeAuditor\defaultmockup.aspx,To-do,4,2,
CodeAuditor\HowtobeGoodCodeAuditorDailyBuildMaster.aspx,To-do,4,2,
CodeAuditor\ImageSizeBad.aspx,To-do,4,2,
CodeAuditor\ImageSizeGood.aspx,To-do,4,2,
CodeAuditor\resources.aspx,To-do,4,2,
CodeAuditor\rsuserguide.aspx,To-do,4,2,
CodeAuditor\Rules.aspx,To-do,4,2,
CodeAuditor\simplewebpages.aspx,To-do,4,2,
CodeAuditor\Tutorial.aspx,To-do,4,2,
CodeAuditor\UserGuide.aspx,To-do,4,2,
CodeAuditor\UserGuideASPMigration.aspx,To-do,4,2,
CodeAuditor\UserGuideASPMigrationScreenshot.aspx,To-do,4,2,
CodeAuditor\UserGuideCheckInPolicy.aspx,To-do,4,2,
CodeAuditor\UserGuideCustomRuleforSQL.aspx,To-do,4,2,
CodeAuditor\UserGuideVS.aspx,To-do,4,2,
CodeAuditor\UserGuideWizard.aspx,To-do,4,2,
CodeAuditor\UserGuide_Old.aspx,To-do,4,2,
CodeAuditor\webmag.aspx,To-do,4,2,
CodeAuditor\RegExTutorial.aspx,Done,1,0,
Company\Awards\Default.aspx,To-do,4,2,
Company\Clients\Default.aspx,Done,1,0,
Company\ConfirmEMailSent.aspx,To-do,4,2,
Company\Culture\Default.aspx,Done,1,0,
Company\Directions\Beijing\Default.aspx,Done,1,0,
Company\Directions\Brisbane\Default.aspx,Done,1,0,
Company\Directions\China\Default.aspx,Done,1,0,
Company\Directions\Coogee\Default.aspx,Done,1,0,
Company\Directions\Hangzhou\Default.aspx,Done,1,0,
Company\Directions\Melbourne\Default.aspx,Done,1,0,
Company\Directions\NeutralBay\Default.aspx,Done,1,0,
Company\Directions\Newcastle\Default.aspx,Done,1,0,
Company\Directions\Sydney\Default.aspx,Done,1,0,
Company\Directions\Default.aspx,Done,1,0,
Company\History\Default.aspx,Done,1,0,
Company\Resources.aspx,To-do,4,2,
Company\Web-Reference.aspx,To-do,4,2,
Company\AboutUs.aspx,Done,1,0,
Company\Awards.aspx,Done,1,0,
Company\Brisbane.aspx,Done,1,0,
Company\Clients.aspx,Done,1,0,
Company\ContactUs.aspx,Done,1,0,
Company\Default.aspx,Done,1,0,
Company\History.aspx,Done,1,0,
Company\Melbourne.aspx,Done,1,0,
Company\Newcastle.aspx,Done,1,0,
Company\zzOffices\Default.aspx,Done,1,0,
Company\Offices.aspx,Done,1,0,
Company\Privacy.aspx,Done,1,0,
Company\Sydney.aspx,Done,1,0,
Components\ShowFileIcon.aspx,Done,1,0,
Consulting\Case-Study\AuctionsPlus.aspx,To-do,4,2,
Consulting\Case-Study\Aurecon.aspx,To-do,4,2,
Consulting\Case-Study\Ausgrid.aspx,To-do,4,2,
Consulting\Case-Study\BCE.aspx,To-do,4,2,
Consulting\Case-Study\Bupa.aspx,To-do,4,2,
Consulting\Case-Study\eMove.aspx,To-do,4,2,
Consulting\Case-Study\EstateMaster.aspx,To-do,4,2,
Consulting\Case-Study\EventCinemas.aspx,To-do,4,2,
Consulting\Case-Study\HutchisonWeller.aspx,To-do,4,2,
Consulting\Case-Study\Maximus.aspx,To-do,4,2,
Consulting\Case-Study\Medibank.aspx,To-do,4,2,
Consulting\Case-Study\PwC.aspx,To-do,4,2,
Consulting\Case-Study\SharePoint-Office-Forum.aspx,To-do,4,2,
Consulting\Case-Study\Shepherd-Centre.aspx,To-do,4,2,
Consulting\Case-Study\SydneyUni.aspx,To-do,4,2,
Consulting\Case-Study\TAFE.aspx,To-do,4,2,
Consulting\Case-Study\Toll.aspx,To-do,4,2,
Consulting\Case-Study\VulcanSteel.aspx,To-do,4,2,
Consulting\Case-Study\WorleyParsons.aspx,To-do,4,2,
Consulting\Case-Study\Auctions-Plus.aspx,Done,1,0,
Consulting\Case-Study\Default.aspx,Done,1,0,
Consulting\Consulting.aspx,To-do,4,2,
Consulting\Crash-Plan-Pro.aspx,To-do,4,2,
Consulting\Maps-Development.aspx,To-do,4,2,
Consulting\NewSharePointBenefits.aspx,To-do,4,2,
Consulting\Access-Database-Development.aspx,Done,1,0,
Consulting\Access-Database-Upsizing.aspx,Done,1,0,
Consulting\Accounting-Packages.aspx,Done,1,0,
Consulting\ALM-Azure-DevOps.aspx,Done,1,0,
Consulting\alm-building-quality-applications.aspx,Done,1,0,
Consulting\alm-project-and-process-management.aspx,Done,1,0,
Consulting\alm-source-control-branching.aspx,Done,1,0,
Consulting\alm-test-quality-assurance.aspx,Done,1,0,
Consulting\Angular.aspx,Done,1,0,
Consulting\Are-You-Stuck.aspx,Done,1,0,
Consulting\ArtificialIntelligence.aspx,Done,1,0,
Consulting\Azure-Synapse.aspx,Done,1,0,
Consulting\Azure.aspx,Done,1,0,
Consulting\BackBlaze-and-CloudBerry-Backup.aspx,Done,1,0,
Consulting\Backup-Recovery.aspx,Done,1,0,
Consulting\Blazor.aspx,Done,1,0,
Consulting\Bots.aspx,Done,1,0,
Consulting\Chinafy-App.aspx,Done,1,0,
Consulting\ContentManagement.aspx,Done,1,0,
Consulting\Data-Protection-Manager.aspx,Done,1,0,
Consulting\Database-Development.aspx,Done,1,0,
Consulting\Default.aspx,Done,1,0,
Consulting\Desktop-Development.aspx,Done,1,0,
Consulting\DevOps.aspx,Done,1,0,
Consulting\DNN-DotNetNuke.aspx,Done,1,0,
Consulting\Document-Management-Workflow.aspx,Done,1,0,
Consulting\Enterprise-Reporting.aspx,Done,1,0,
Consulting\GPT.aspx,Done,1,0,
Consulting\HoloLens.aspx,Done,1,0,
